A101730,조이맥스
A101930,인화정공
A102120,어보브반도체
A102210,에이치디
A102710,이엔에프테크놀로지
A102940,코오롱생명과학
A103230,에스앤더블류
A103840,우양
A104040,대성파인텍
A104200,NHN벅스
A104460,디와이피엔에프
A104480,티케이케미칼
A104540,코렌텍
A104620,노랑풍선
A104830,원익머트리얼즈
A105330,케이엔더블유
A105550,트루윈
A105740,디케이락
A106080,하이소닉
A106190,하이텍팜
A106240,파인테크닉스
A106520,디지탈옵틱
A108230,톱텍
A108320,실리콘웍스
A108380,대양전기공업
A108490,로보티즈
A108860,셀바스AI
A109080,옵티시스
A109610,에스와이
A109740,디에스케이
A109820,진매트릭스
A109860,동일금속
A109960,에이프로젠 H&G
A110020,전진바이오팜
A110790,크리스에프앤씨
A110990,디아이티
A111710,남화산업
A111820,지와이커머스
A111870,삼본전자
A112040,위메이드
A113810,디젠스
A114120,크루셜텍
A114190,강원
A114450,KPX생명과학
A114570,지스마트글로벌
A114630,우노앤컴퍼니
A114810,아이원스
A115160,휴맥스
A115180,큐리언트
A115310,인포바인
A115440,우리넷
A115450,지트리비앤티
A115480,씨유메디칼
A115500,케이씨에스
A115530,씨엔플러스
A115570,스타플렉스
A115610,이미지스
A115960,연우
A117670,알파홀딩스
A117730,티로보틱스
A118990,모트렉스
A119500,포메탈
A119610,인터로조
A119830,아이텍
A119850,지엔씨에너지
A119860,다나와
A120240,대정화금
A121440,골프존뉴딘홀딩스
A121600,나노신소재
A121800,비덴트
A121850,코이즈
A121890,에스디시스템
A122310,제노레이
A122350,삼기
A122450,KMH
A122640,예스티
A122690,서진오토모티브
A122870,와이지엔터테인먼트
A122990,와이솔
A123010,아이에이네트웍스
A123040,엠에스오토텍
A123330,제닉
A123410,코리아에프티
A123420,선데이토즈
A123570,이엠넷
A123750,알톤스포츠
A123840,한일진공
A123860,아나패스
A124500,아이티센
A124560,태웅로직스
A125210,아모그린텍
A126340,비나텍
A126600,코프라
A126640,화신정공
A126700,하이비젼시스템
A126870,뉴로스
A126880,제이엔케이히터
A127120,디엔에이링크
A127160,매직마이크로
A127710,아시아경제
A128540,에코캡
A128660,피제이메탈
A129890,앱코
A130500,GH신소재
A130580,나이스디앤비
